Average_Mark,student_answer_en,reference_answer_en
4.75,"Any offence or offence committed on the Internet or through electronic devices for the purpose of theft, sabotage or exchange of information for the purpose of an interest, shall result in material or moral damage to the victim.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
4.75,"It is illegal to use technology and the Internet, where it focuses on hacking systems and programs for material or moral reasons, such as stealing and destroying information, threatening and cyberspying... and has material or moral consequences for the hacker.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
4.25,"It's all illegal behavior done via the Internet or electronic devices aimed at sabotage, extortion, exploitation and assault that is against values and the law, such as publishing unethical images, extortion and defamation, access to user data without their permission, exploitation of data, physical and moral abuse, dissemination of extremist ideas...","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
3.5,"It is illegal by electronic means (telephone, Internet, computer) to take and take away the victim &apos; s confidential information and stuff and often pay the victim for this crime, whose purpose is to destroy and steal the information.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
3.875,"Any offence committed through the use of modern means (telephones, computer, Internet) for the purpose of a physical or moral investigation, which is detrimental to the victim and has suffered material losses.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
4.5,"They are illegal practices committed using electronic devices (computer, Internet, telephone) intended by the offender, physically or morally in return to harm the victim, the most important of which is the piracy of information or the destruction of safety systems.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
4.5,"It is the unlawful conduct of the offender against the individual, organizations, governmental organizations, i.e., against others for material or moral interests that cause the victim losses and have the potential to sabotage or steal and change information.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
4,"Means, tools, policies and procedures used to ensure privacy, integration and availability of information and to prevent access, deletion or undue contact with information","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
3.25,"Technical, technical and administrative means to protect the processing of information (storage, transport, processing)","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
2.75,"It's the methods and techniques used to strengthen security systems so that we can protect information from theft, sabotage and substitution.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
3.75,"Insuring the facility itself, its employees, its systems, its devices and the media that contain the information at all stages of its existence and storage (transport and processing)","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
1.75,It's to protect information from espionage and penetration by electronic or physical means to reduce cyber crime.,"Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
2.75,"The protection and security of resources used to process information during all stages of processing (storage, transport and processing)","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
3.25,"Insuring and protecting all resources used to process information at all stages of processing (storage, transport and processing)","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
4.5,"It is to secure all the media used to process the information where the enterprise itself, its personnel, its computer interface and all the locations of the data during transport, storage and processing.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
1,It's protecting information from the threat of hacking and hacking.,"Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
4,"Academically: Science that examines theories and strategies to protect information from threats, technically: Means, tools and procedures for protecting information from internal and external threats, legally: is the subject of studies to ensure the confidentiality and integrity of information content.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
4,"Various methods used to process information academically study strategies for protecting information, and technically various tools and means for protecting information from within and outside, legally methods and regulatory legislation for protecting information.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
4,"The use of available resources to protect information and data, academically, is the science of fighting hacking, technically developing techniques and programs to fight hacking, administratively: using law and legislation.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
3,"Technically: Science is searching for theories and strategies to protect information from threats and to prohibit aggression. Legally, the State is working to provide a system for protecting confidential information from internal and external attacks.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
2.75,"It is the methodological means of ensuring the safety of equipment and information in operation, as well as the mechanisms used to ensure their security and the security of their personnel.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
4.25,"Academic: Science that uses strategies and theories to protect information, technical: tools and means used to protect information from abuse, legal: measures and obligations to protect information, generally protecting all resources used in processing information established by workers, devices and data storage media.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
1.25,is to preserve all resources used to process information through all stages of information that constitute transport and processing.,"Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
4.75,"It is the protection and security of information against sabotage (theft, alteration), the information system where every facility protects itself, the protection of employees, the protection of computers and devices, the protection of data stored in them in all circles of hackers and any means of sabotage at various stages of information (storage of a processing transport).","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
4,"Academic: Science that examines strategies for the protection of information is technically: the means, techniques and measures to ensure the protection of information, legally: the actions to be taken to ensure the confidentiality, integrity and availability of information and to combat the activities of aggression against it, in general, is to protect all resources used to process information in all forms of information existence.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
4.25,"Academically, it is the science in which theories and strategies are examined to ensure that information security is protected from threats and attacks. Technically, they are all messages, tools and procedures that ensure the protection of information from external and internal risks. Legally, the procedures and measures that guarantee the integrity and confidentiality of the content of information and thus the activities that threaten it are the protection of all resources used for information at all stages of its existence.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
3.75,"Academically: science that is concerned with methods and strategies for the protection of information, technically: tools and means used to protect information, legally: procedures and measures for the protection and security of information","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
3.25,"Protection of all information and the stages in which it is provided to preserve confidentiality, availability and complementarity: academic: techniques and strategies, technical: tools, means and procedures, legal: studies and measures","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
3.75,"An academic definition is the theories and methods to be applied to protect the information system, a technical definition is the means and policies applied to protect the information system, a legal definition is the legislative provisions that would protect individuals and institutions from piracy.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
3.25,"Academic science is the science that studies strategies and theories to provide information security. Technical information security is the tools, procedures and means to ensure information security. Legal measures are the crisis to ensure the safety, confidentiality and flow of information and to combat abuse.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
1.5,The systems and means used to ensure the security and privacy of information and its channels.,"Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
3.5,"It's secure for data systems so they're not hacked, and it's based on administrative and technical protection.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
4.75,"It's secure and protects all the resources used in information systems so that the facility itself, the people working in it, the computers and the information that contains the data at various stages of transport and processing.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
2.75,"Protection of information and prevention of attacks aimed at the theft of such information, where user identification is used to establish user identity, authority and responsibilities as well as non-denial and privacy for the protection of information","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
0.75,It's the methods and methods used to defend user or company information.,"Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
3,"It is to protect all resources used to transmit, process and store information, as well as the information used, while ensuring its availability, complementarity and confidentiality.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
4.25,"It ensures and protects all the resources used in the processing of information, where the facility, the people working in it, the equipment used, and the academic data are the theories and strategies for the protection of information. Technically, the tools, means and procedures needed to be carried out. Legally, the measures and declarations are to ensure the confidentiality of the information and to combat the abuse of it.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
4.25,"Academically, it is science that considers theories and strategies for the protection of information. Technically, it is the means that need to be provided for the protection of information. Legally, it is studies for the protection and confidentiality of information.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
4,"Academically, it is a science that investigates theories and studies to protect information from combustion. Technically, the means, tools and procedures necessary to provide protection of information from internal and external notification are legally the subject of studies and measures to provide for the integrity and confidentiality of information from threats to it.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
2.25,It's science that does theories and strategies to protect information from threats that threaten it.,"Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
1.5,It's the strategy and software applications to keep privacy and not break the rules.,"Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
3.25,"It's a set of security measures taken from tools, policies and other things to secure information in storage, transport and supply.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
3.5,"Academically, it is science that develops strategies that allow the development of information systems. Technically, the toolkit used to legally promote electronic security defences is the subject of legislative studies to reduce cybercrime.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
4.25,"It's to provide protection, security and confidentiality of the data and the means we're working on and maintaining from each attack, and that's during all of its periods.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
3.75,"Provide and ensure the protection of information from internal and external threats, as well as the means, tools and measures necessary to ensure the confidentiality and integrity of information","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
2.75,"Provide all means and tools to protect information and avoid the damage that impedes it, as the enterprise itself, its employees, its computers and its data are returned.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
2,"It's all about how to maintain individual information, both administratively and legally.","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
2,"Various methods and actions taken to protect information during its transmission, processing and creation","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
4,"To protect private information and data from the risks and threats of security information through the immunization of origin, personnel, devices used and means of processing information (reception-storage-publishing)","Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
1,Is to provide the means and expertise to ensure the confidentiality and security of the information while it's being stored.,"Protection and security of all resources used to process information from the facilities themselves, their personnel, computers and data-containing information media at all stages of the information &apos; s existence (storage, transport, processing)"
2.5,They're techniques of psychotic manipulation to trick others into stealing their data or spying on their secret information.,"It's a practice of using psycho-psychic manipulation techniques to hurt and deceive others and to obtain classified information that can be hacked by non-technical means by telephone, e-mail, web pages or face-to-face security."
2,"It's to manipulate a man's mind and his mind, and he's cheating and deceiving a man in terms of what he's doing.","It's a practice of using psycho-psychic manipulation techniques to hurt and deceive others and to obtain classified information that can be hacked by non-technical means by telephone, e-mail, web pages or face-to-face security."
2.5,It's a process of psychological manipulation to hurt others and trick them into obtaining classified information.,"It's a practice of using psycho-psychic manipulation techniques to hurt and deceive others and to obtain classified information that can be hacked by non-technical means by telephone, e-mail, web pages or face-to-face security."
4.25,"It's direct interaction with people to extract information from them, not through complicated means, and it's done by phone; face-to-face; e-mail.","It's a practice of using psycho-psychic manipulation techniques to hurt and deceive others and to obtain classified information that can be hacked by non-technical means by telephone, e-mail, web pages or face-to-face security."
2.25,It's a practice that uses manipulation of ideas and dumping or threats and pressure on others to obtain classified information.,"It's a practice of using psycho-psychic manipulation techniques to hurt and deceive others and to obtain classified information that can be hacked by non-technical means by telephone, e-mail, web pages or face-to-face security."
2,"Psychiatric methods and methods to lure people into the illusion of their credibility and to understand such an understanding as sending an e-mail with a site to confirm personal identity, which is not the original site to overthrow and steal personal data of people.","It's a practice of using psycho-psychic manipulation techniques to hurt and deceive others and to obtain classified information that can be hacked by non-technical means by telephone, e-mail, web pages or face-to-face security."
